Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0603_1608Metric,126.2,-74.0,180.0,top
C10,10uF,C_0603_1608Metric,128.6,-70.4,0.0,top
C11,270pF,C_0603_1608Metric,116.94516,-69.15,90.0,top
C12,2.2nF,C_0603_1608Metric,118.54516,-69.15,90.0,top
C13,4.7nF,C_0603_1608Metric,120.14516,-69.15,90.0,top
C2,100nF,C_0603_1608Metric,128.6,-68.6,0.0,top
C4,10uF 50V,C_1210_3225Metric,141.3,-71.2,0.0,top
C5,33uF 50V,C_Elec_6.3x7.7,141.45,-77.537499,-90.0,top
C6,10uF,C_1210_3225Metric,122.25,-79.225001,-90.0,top
C7,10uF,C_1210_3225Metric,118.75,-79.25,-90.0,top
C8,10uF,C_1210_3225Metric,115.25,-79.25,-90.0,top
C9,100nF,C_0603_1608Metric,128.6,-72.2,0.0,top
D1,LED_Small,LED_0402_1005Metric,155.3,-68.1,90.0,top
J1,Barrel_Jack,BarrelJack_Wuerth_6941xx301002,108.15,-71.15,0.0,top
J2,Barrel_Jack,BarrelJack_Wuerth_6941xx301002,151.75,-71.1,0.0,top
L1,4.7uH,L_Coilcraft_XAL7030-472,133.5,-77.6,0.0,top
Q1,CSD16327Q3,VSON-8_3.3x3.3mm_P0.65mm_NexFET,136.2405,-71.110001,270.0,top
Q2,CSD16327Q3,VSON-8_3.3x3.3mm_P0.65mm_NexFET,132.189999,-71.0405,180.0,top
R1,100R,R_0603_1608Metric,123.9,-74.6,-90.0,top
R2,100R,R_0603_1608Metric,128.5,-74.6,-90.0,top
R3,8mR,R_1206_3216Metric,126.5,-77.4,180.0,top
R4,205kR,R_0603_1608Metric,113.74516,-69.155266,-90.0,top
R5,8mR,R_1206_3216Metric,126.5,-80.0,180.0,top
R6,11kR,R_0603_1608Metric,115.34516,-69.15,90.0,top
R7,6.19kR,R_0603_1608Metric,117.6,-71.572508,0.0,top
R8,105kR,R_0603_1608Metric,121.74516,-69.15,90.0,top
R9,11kR,R_0603_1608Metric,143.3,-67.9,180.0,top
U1,TPS43061RTE,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,124.8,-70.2,0.0,top
